Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,10nF,C_0603_1608Metric,105.9,-45.5,270,top
C4,100uF/16V,CP_EIA-3528-21_Kemet-B,93.6,-62,270,top
C5,10nF,C_0603_1608Metric,111.8,-46,90,top
C6,100nF,C_0603_1608Metric,85.7,-61.3,90,top
C7,10nF,C_0603_1608Metric,105.3,-49.5,0,top
C8,100nF,C_0603_1608Metric,90.7,-61.2,270,top
C9,10uF/16V,CP_EIA-3528-21_Kemet-B,82.1,-61.6,270,top
C10,100nF,C_0603_1608Metric,113.9,-47.4,270,top
C19,100nF,C_0603_1608Metric,101.4,-51.2,180,top
C20,470nF,C_0603_1608Metric,107.6,-56.4,180,top
C26,470nF,C_0603_1608Metric,107.7,-58.1,0,top
C32,470nF,C_0603_1608Metric,107.6,-54.8,180,top
C33,470nF,C_0603_1608Metric,107.6,-53.2,0,top
C34,1nF,C_0603_1608Metric,129,-58.8,90,top
C35,1nF,C_0603_1608Metric,114.9,-57,90,top
C36,100nF,C_0603_1608Metric,122.1,-54.3,180,top
C37,1uF,C_0603_1608Metric,121.8,-42.6,0,top
C38,1uF,C_0603_1608Metric,126.9,-51.3,0,top
C42,100nF,C_0603_1608Metric,88.4,-47,180,top
J8,MIC,Jack_3.5mm_PJ-320B-SMT_Horizontal_CORR,129.2,-46.9,270,top
L2,100uH,L_0805_2012Metric,88.3,-61.4,90,top
Q1,BSS123,SOT-23-3,108.9,-46.5,0,top
R7,1k,R_0603_1608Metric,108.7,-49.5,0,top
R12,1k,R_0603_1608Metric,117.8,-47.5,270,top
R13,10k,R_0603_1608Metric,120.8,-47.8,180,top
R14,10k,R_0603_1608Metric,115.8,-47.425,270,top
R15,3k,R_0603_1608Metric,126.9,-58.8,90,top
R16,3k,R_0603_1608Metric,116.6,-57,90,top
U2,3253,TSSOP-16_4.4x5mm_P0.65mm,101.3,-55,0,top
U4,LM4562,SOIC-8_3.9x4.9mm_P1.27mm,121.9,-58.1,0,top
U6,SN74ACT74DR,SOIC-14_3.9x8.7mm_P1.27mm,88.3,-52.6,0,top
